City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
207,Serafimovich,RU,81.63,overcast clouds,49.5786,42.736000000000004,Donskiye Prostory
210,Luba,GQ,77.13,light rain,3.4568,8.5547,
212,Kamenka,RU,76.98,scattered clouds,51.3223,42.7678,
214,Jining,CN,79.07,heavy intensity rain,35.405,116.5814,Yunhe Star Hotel
217,Mandeville,JM,86.18,broken clouds,18.0417,-77.5071,Mandeville Hotel
219,Guerrero Negro,MX,78.46,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
222,Port-Gentil,GA,76.96,broken clouds,-0.7193,8.7815,Fengshui Residence
224,Lasa,IT,81.48,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
226,Touros,BR,83.21,clear sky,-5.1989,-35.4608,INN NEW HORIZON
229,Sao Jose Da Coroa Grande,BR,79.3,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
232,Portland,US,75.61,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
236,Sinnamary,GF,86.49,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
238,Salalah,OM,77.09,drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
243,Tura,IN,76.19,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
248,Caravelas,BR,80.02,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
251,Chiman,PK,89.4,few clouds,32.5463,73.8138,Master Muhammad zafar iqbal
256,Mbini,GQ,78.26,overcast clouds,1.574,9.6134,
259,Colares,PT,81.34,few clouds,38.7992,-9.4469,Arribas Sintra Hotel
260,Nachingwea,TZ,75.0,broken clouds,-10.3833,38.7667,Makoga lodge
261,Gazojak,TM,88.09,scattered clouds,41.1875,61.4036,
265,Asgabat,TM,89.46,few clouds,37.95,58.3833,Oguzkent Hotel
266,Garowe,SO,85.87,broken clouds,8.4054,48.4845,Curubo Hotel
268,Civitavecchia,IT,87.62,clear sky,42.0933,11.7967,Hotel Mediterraneo
269,Valle De Banderas,MX,85.6,overcast clouds,20.8,-105.2333,Rancho los Nietos
274,Pangai,TO,77.56,clear sky,-19.8,-174.35,Ha'apai Beach Resort
277,Ixtapa,MX,85.23,overcast clouds,20.7,-105.2,hotel la terminal
281,Praia Da Vitoria,PT,79.05,scattered clouds,38.7333,-27.0667,Hotel Branco I
282,Florian,CO,75.78,clear sky,5.8049,-73.9703,Jose plasas
284,Tual,ID,79.61,broken clouds,-5.6667,132.75,Grand Vilia Hotel
286,Wajir,KE,85.96,clear sky,1.7471,40.0573,Mahatallah Hotel
287,Fort Madison,US,75.69,overcast clouds,40.6298,-91.3151,Kingsley Inn
291,Maragogi,BR,78.91,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
292,Zhanakorgan,KZ,81.75,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
299,Cabedelo,BR,83.07,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
302,Chalus,IR,80.06,overcast clouds,36.655,51.4204,Rama Spa
303,Namatanai,PG,78.08,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
304,Acapulco,MX,85.82,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
307,Diffa,NE,87.19,overcast clouds,13.3154,12.6113,ProDAF/Diffa
310,Ponta Delgada,PT,75.92,few clouds,37.7333,-25.6667,Vila Nova Hotel
312,Pitimbu,BR,82.99,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
313,Kotelnikovo,RU,88.2,broken clouds,47.6317,43.1461,Seven Kings Kotelnikovo
316,Flin Flon,CA,75.04,broken clouds,54.7682,-101.865,Victoria Inn Flin Flon
322,Jackson,US,76.15,scattered clouds,42.4165,-122.8345,Agate Village Apartments
324,Manado,ID,75.97,scattered clouds,1.4869999999999999,124.8455,Aryaduta Hotel
328,Katsuura,JP,81.09,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
329,Umm Lajj,SA,89.91,few clouds,25.0213,37.2685,Moon light Furnished Units
330,Mangalia,RO,84.52,clear sky,43.8,28.5833,Hotel Paradiso
332,Tambopata,PE,84.09,broken clouds,-12.7333,-69.1833,Enashawa Lodge
335,Ewa Beach,US,77.09,clear sky,21.3156,-158.0072,Base Lodging
336,Nantucket,US,87.91,clear sky,41.2835,-70.0995,Jared Coffin House
338,Shibukawa,JP,80.44,overcast clouds,36.4833,139.0,Hotel Route-Inn Shibukawa
340,Bartica,GY,89.92,broken clouds,6.4,-58.6167,Sloth Island Nature Resort
344,Ligayan,PH,83.23,overcast clouds,4.6533,119.4706,
351,Lufilufi,WS,76.78,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
352,Hamilton,US,88.74,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
354,Meadow Lake,US,79.14,scattered clouds,34.8014,-106.5436,TumbleWeed RV Park
356,Hambantota,LK,78.73,overcast clouds,6.1241,81.1185,Bungalow 63
362,Siderno,IT,83.91,broken clouds,38.2779,16.302,Grand Hotel President
363,Jibuti,DJ,85.8,clear sky,11.5,42.5,Orchid Main Camp Goubet
366,Caudry,FR,77.72,few clouds,50.1249,3.4119,Hôtel Akena Caudry
371,Payo,ID,76.51,broken clouds,-3.7508,103.6372,Mess keban agung
372,Toppenish,US,82.35,clear sky,46.3774,-120.3087,Legends Casino Hotel
373,Kangar,MY,80.56,overcast clouds,6.4414,100.1986,Hotel Seri Malaysia Kangar Perlis
374,Albertville,US,84.06,broken clouds,34.2676,-86.2089,Microtel Inn & Suites by Wyndham Albertville
375,Hudson Bay,CA,76.68,clear sky,52.85,-102.3842,Norwood Motel LTD
378,Ternate,ID,78.94,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
380,Rodrigues Alves,BR,86.2,clear sky,-7.7379999999999995,-72.6509,Pousada Aconchego
381,Port Blair,IN,82.04,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
384,Beyneu,KZ,89.02,overcast clouds,45.3167,55.2,NUR
385,Savinka,RU,84.29,scattered clouds,50.0785,47.0994,
391,Bat Khela,PK,83.77,clear sky,34.6167,71.9714,Electric and pipe fitting
395,Jitra,MY,80.49,few clouds,6.2681,100.4217,Hotel Darulaman
396,Thinadhoo,MV,82.26,overcast clouds,0.5333,72.9333,
397,Delano,US,78.33,clear sky,35.7688,-119.24700000000001,"Holiday Inn Express Delano Hwy 99, an IHG Hotel"
402,Keti Bandar,PK,83.34,light rain,24.1447,67.4497,Haji laloo memon house
408,Kyabe,TD,81.43,broken clouds,9.4515,18.9449,
412,Yueyang,CN,87.04,broken clouds,29.3333,113.0919,Delong Fortune Hotel
418,Lotofaga,WS,76.78,light rain,-13.9764,-171.8578,Sataoa Beach Fales
421,Port Arthur,CN,77.22,broken clouds,38.8,121.2667,Friendship Hotel
429,Guatire,VE,89.69,clear sky,10.4762,-66.5427,Parque Residencial Canaima I
431,Chunhuhub,MX,88.29,scattered clouds,19.55,-88.6833,
437,Mount Pleasant,US,89.01,few clouds,32.7941,-79.8626,Best Western Patriots Point
438,Sonoita,MX,86.81,light rain,31.85,-112.8333,Hotel internacional
440,Rio Das Ostras,BR,78.71,overcast clouds,-22.5269,-41.945,Pousada Girassol - (Rio das Ostras)
441,Dumas,US,75.34,scattered clouds,35.8656,-101.9732,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
443,Grass Valley,US,81.95,clear sky,39.2191,-121.0611,Holbrooke Hotel
446,Pemangkat,ID,80.1,clear sky,1.1667,108.9667,Hotel Duyung Permai 2
