City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Faanui,PF,2022-08-08 16:16:27,-16.4833,-151.75,76.59,61,76,18.59,broken clouds
60,Okato,NZ,2022-08-08 16:16:27,-39.2,173.8833,50.18,74,100,34.0,overcast clouds
61,Santa Isabel,BR,2022-08-08 16:16:27,-23.3156,-46.2214,69.1,58,100,8.21,moderate rain
62,Bambous Virieux,MU,2022-08-08 16:16:28,-20.3428,57.7575,70.05,78,40,5.75,scattered clouds
63,Longyearbyen,SJ,2022-08-08 16:16:28,78.2186,15.6401,49.84,71,40,12.66,scattered clouds
64,Lumby,CA,2022-08-08 16:16:28,50.2498,-118.969,74.05,53,0,1.14,clear sky
65,Thompson,CA,2022-08-08 16:16:29,55.7435,-97.8558,69.96,73,75,10.36,broken clouds
66,Roald,NO,2022-08-08 16:16:29,62.5833,6.1333,69.17,77,75,10.36,broken clouds
67,Yellowknife,CA,2022-08-08 16:13:49,62.456,-114.3525,59.52,82,75,12.66,broken clouds
68,Port Hardy,CA,2022-08-08 16:15:19,50.6996,-127.4199,59.18,82,75,4.61,broken clouds
69,Port Macquarie,AU,2022-08-08 16:16:30,-31.4333,152.9167,45.9,89,5,9.91,clear sky
70,Doha,QA,2022-08-08 16:12:20,25.2867,51.5333,100.71,68,0,9.22,clear sky
71,New Norfolk,AU,2022-08-08 16:16:30,-42.7826,147.0587,36.72,83,6,2.77,clear sky
72,Pochutla,MX,2022-08-08 16:16:31,15.7432,-96.4661,86.83,60,98,3.04,overcast clouds
73,Quang Ngai,VN,2022-08-08 16:16:31,15.1167,108.8,74.68,97,100,6.2,overcast clouds
74,Chuy,UY,2022-08-08 16:16:32,-33.6971,-53.4616,55.22,65,83,10.31,broken clouds
75,Salinas,US,2022-08-08 16:12:25,36.6777,-121.6555,68.83,68,0,6.91,clear sky
76,Bredasdorp,ZA,2022-08-08 16:16:32,-34.5322,20.0403,57.69,93,36,6.17,scattered clouds
77,Paamiut,GL,2022-08-08 16:12:17,61.994,-49.6678,42.19,90,67,18.12,broken clouds
78,Coihaique,CL,2022-08-08 16:16:07,-45.5752,-72.0662,41.61,70,75,6.91,broken clouds
79,Loandjili,CG,2022-08-08 16:16:32,-4.7561,11.8578,72.75,75,65,7.36,broken clouds
80,Alice Springs,AU,2022-08-08 16:16:33,-23.7,133.8833,44.22,49,0,5.75,clear sky
81,Udachnyy,RU,2022-08-08 16:16:33,66.4167,112.4,46.45,93,100,2.82,overcast clouds
82,Tiksi,RU,2022-08-08 16:16:33,71.6872,128.8694,51.35,95,100,7.09,overcast clouds
83,Mayo,US,2022-08-08 16:16:34,38.8876,-76.5119,93.2,75,40,13.8,scattered clouds
84,Necochea,AR,2022-08-08 16:16:34,-38.5473,-58.7368,47.08,69,100,1.92,overcast clouds
85,Salinopolis,BR,2022-08-08 16:16:34,-0.6136,-47.3561,85.39,63,22,13.11,few clouds
86,Chumikan,RU,2022-08-08 16:16:35,54.7183,135.315,53.2,96,99,4.27,overcast clouds
87,Nanortalik,GL,2022-08-08 16:16:35,60.1432,-45.2371,45.41,84,100,8.32,overcast clouds
88,Victoria,HK,2022-08-08 16:14:15,22.2855,114.1577,85.32,86,47,4.0,scattered clouds
89,Bengkulu,ID,2022-08-08 16:16:35,-3.8004,102.2655,76.6,89,17,7.18,few clouds
90,Otradnoye,RU,2022-08-08 16:16:36,59.7775,30.8181,59.95,94,100,1.63,overcast clouds
91,Buin,CL,2022-08-08 16:16:36,-33.7333,-70.75,57.43,40,0,2.66,clear sky
92,Bauchi,NG,2022-08-08 16:16:37,10.5,10.0,77.41,75,100,2.84,overcast clouds
93,Tasiilaq,GL,2022-08-08 16:17:37,65.6145,-37.6368,41.16,96,100,4.79,overcast clouds
94,Viedma,AR,2022-08-08 16:17:37,-40.8135,-62.9967,49.48,58,97,6.26,overcast clouds
95,Bullhead City,US,2022-08-08 16:12:58,35.1478,-114.5683,95.29,37,75,13.8,broken clouds
96,Busselton,AU,2022-08-08 16:17:38,-33.65,115.3333,47.32,90,85,6.02,light rain
97,Pingliang,CN,2022-08-08 16:17:38,35.5392,106.6861,78.04,66,93,4.9,overcast clouds
98,Inirida,CO,2022-08-08 16:17:38,3.8653,-67.9239,89.04,60,54,1.57,broken clouds
99,Klaksvik,FO,2022-08-08 16:17:39,62.2266,-6.589,54.52,78,49,15.01,scattered clouds
100,Peniche,PT,2022-08-08 16:17:39,39.3558,-9.3811,78.08,79,1,8.12,clear sky
101,Saint-Georges,GD,2022-08-08 16:17:24,12.0564,-61.7485,87.48,66,20,19.57,few clouds
102,Esperance,AU,2022-08-08 16:17:40,-33.8667,121.9,55.0,73,89,13.96,overcast clouds
103,Oyem,GA,2022-08-08 16:15:14,1.5995,11.5793,73.99,83,100,3.13,light rain
104,Qaanaaq,GL,2022-08-08 16:17:40,77.484,-69.3632,39.18,59,85,1.7,overcast clouds
105,Raudeberg,NO,2022-08-08 16:17:40,61.9875,5.1352,60.96,72,100,24.34,overcast clouds
106,Lorengau,PG,2022-08-08 16:17:41,-2.0226,147.2712,81.59,78,90,9.26,overcast clouds
107,Nyurba,RU,2022-08-08 16:17:43,63.2842,118.3319,52.88,94,93,3.67,overcast clouds
108,Dingle,PH,2022-08-08 16:17:44,10.9995,122.6711,74.84,90,100,2.57,overcast clouds
109,Rocha,UY,2022-08-08 16:17:44,-34.4833,-54.3333,55.09,60,100,9.98,overcast clouds
110,Ilulissat,GL,2022-08-08 16:17:44,69.2167,-51.1,44.62,93,100,3.44,overcast clouds
111,Hermanus,ZA,2022-08-08 16:17:45,-34.4187,19.2345,58.8,85,39,5.48,scattered clouds
112,Vestmanna,FO,2022-08-08 16:17:45,62.1564,-7.1664,52.72,94,75,9.22,broken clouds
113,Jerantut,MY,2022-08-08 16:17:45,3.936,102.3626,74.5,96,100,0.02,overcast clouds
114,Koregaon,IN,2022-08-08 16:17:46,18.65,74.0833,74.53,87,100,16.51,overcast clouds
115,Karasburg,NA,2022-08-08 16:17:46,-28.0167,18.75,64.36,18,59,14.25,broken clouds
116,Morondava,MG,2022-08-08 16:17:47,-20.2833,44.2833,74.12,78,0,9.78,clear sky
117,Yumen,CN,2022-08-08 16:17:47,40.2833,97.2,69.06,48,9,17.49,clear sky
118,Coffeyville,US,2022-08-08 16:17:47,37.0373,-95.6164,95.05,40,0,12.66,clear sky
119,Lebu,CL,2022-08-08 16:17:47,-37.6167,-73.65,50.23,73,21,7.52,few clouds
120,Barrow,US,2022-08-08 16:17:48,71.2906,-156.7887,37.81,79,29,12.53,scattered clouds
121,Fayaoue,NC,2022-08-08 16:17:48,-20.65,166.5333,74.8,73,1,13.51,clear sky
122,Lima,PE,2022-08-08 16:17:12,-12.0432,-77.0282,63.9,78,100,9.22,overcast clouds
123,Richards Bay,ZA,2022-08-08 16:17:49,-28.783,32.0377,66.27,79,95,14.09,light rain
124,Turukhansk,RU,2022-08-08 16:17:49,65.8167,87.9833,65.34,79,46,7.11,scattered clouds
125,Saint-Philippe,RE,2022-08-08 16:17:49,-21.3585,55.7679,69.39,78,42,8.81,scattered clouds
126,Totma,RU,2022-08-08 16:17:50,59.9747,42.7642,65.01,65,67,2.44,broken clouds
127,Presidencia Roque Saenz Pena,AR,2022-08-08 16:17:50,-26.7852,-60.4388,69.37,45,27,9.71,scattered clouds
128,Seoul,KR,2022-08-08 16:14:57,37.5683,126.9778,78.37,100,100,5.75,heavy intensity rain
129,Avera,US,2022-08-08 16:17:51,33.194,-82.5271,87.55,56,44,4.0,scattered clouds
130,Nikolskoye,RU,2022-08-08 16:17:51,59.7035,30.7861,59.79,95,100,2.15,overcast clouds
131,Bajil,YE,2022-08-08 16:17:51,15.0584,43.2851,84.11,75,99,4.05,overcast clouds
132,Husavik,IS,2022-08-08 16:17:52,66.0449,-17.3389,58.14,54,42,17.63,scattered clouds
133,Pevek,RU,2022-08-08 16:17:52,69.7008,170.3133,31.55,89,20,3.56,few clouds
134,Geraldton,AU,2022-08-08 16:17:53,-28.7667,114.6,59.41,63,40,16.11,scattered clouds
135,Marawi,PH,2022-08-08 16:18:53,7.9986,124.2928,68.68,92,100,1.79,light rain
136,Hobyo,SO,2022-08-08 16:18:53,5.3505,48.5268,76.98,77,86,27.56,overcast clouds
137,Labuhan,ID,2022-08-08 16:18:54,-6.8844,112.2051,77.95,80,77,4.18,broken clouds
138,Ponta Do Sol,PT,2022-08-08 16:18:54,32.6667,-17.1,81.72,66,2,4.21,clear sky
139,San Quintin,MX,2022-08-08 16:18:55,30.4833,-115.95,74.84,76,55,4.12,broken clouds
140,Camabatela,AO,2022-08-08 16:18:55,-8.1881,15.375,85.66,13,19,5.61,few clouds
141,Tarakan,ID,2022-08-08 16:18:55,3.3,117.6333,80.33,80,100,5.55,overcast clouds
142,Graham,US,2022-08-08 16:18:55,47.0529,-122.2943,76.17,68,0,1.99,clear sky
143,Severo-Kurilsk,RU,2022-08-08 16:18:56,50.6789,156.125,53.78,88,53,10.45,broken clouds
144,Pisco,PE,2022-08-08 16:18:56,-13.7,-76.2167,64.02,72,40,10.36,scattered clouds
145,Buchanan,LR,2022-08-08 16:18:57,5.8808,-10.0467,77.2,75,82,8.75,broken clouds
146,Jablah,SY,2022-08-08 16:18:57,35.3614,35.9256,84.49,54,20,6.91,few clouds
